Account_id,Tenure,Contract,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges
1285-OKIPP,1,Month-to-month,Electronic check,No,79.9,79.9
7825-ECJRF,19,Month-to-month,Electronic check,Yes,106.6,1934.45
7841-TZDMQ,2,Month-to-month,Credit card (automatic),Yes,46.0,84.5
9408-SSNVZ,4,Month-to-month,Electronic check,Yes,70.15,268.35
0742-MOABM,4,Month-to-month,Mailed check,No,50.05,179.35
2232-DMLXU,1,Month-to-month,Mailed check,No,55.2,55.2
8937-RDTHP,1,Month-to-month,Mailed check,Yes,84.6,84.6
1251-KRREG,2,Month-to-month,Mailed check,Yes,54.4,114.1
0094-OIFMO,11,Month-to-month,Electronic check,Yes,95.0,1120.3
9947-OTFQU,15,Month-to-month,Electronic check,Yes,74.4,1074.3
0322-YINQP,1,Month-to-month,Mailed check,Yes,48.55,48.55
4629-NRXKX,2,Month-to-month,Electronic check,No,70.4,147.15
9514-JDSKI,1,Month-to-month,Electronic check,No,40.2,40.2
4959-JOSRX,2,Month-to-month,Credit card (automatic),Yes,44.6,80.55
7273-TEFQD,3,Month-to-month,Electronic check,Yes,41.15,132.2
3606-TWKGI,13,Month-to-month,Electronic check,Yes,106.9,1364.3
6323-AYBRX,59,Two year,Mailed check,No,19.35,1099.6
4385-GZQXV,16,Month-to-month,Electronic check,Yes,94.45,1511.2
6366-ZGQGL,1,Month-to-month,Bank transfer (automatic),No,24.8,24.8
5940-AHUHD,1,Month-to-month,Mailed check,No,70.6,70.6
6432-TWQLB,5,Month-to-month,Electronic check,Yes,85.4,401.1
4484-GLZOU,52,Month-to-month,Electronic check,Yes,105.05,5624.85
9512-UIBFX,18,Month-to-month,Mailed check,No,95.15,1779.95
5583-SXDAG,1,Month-to-month,Electronic check,No,70.0,70
3488-PGMQJ,8,Month-to-month,Electronic check,Yes,74.5,606.55
3580-REOAC,10,Month-to-month,Credit card (automatic),Yes,44.85,435.4
7534-BFESC,24,Month-to-month,Electronic check,Yes,76.1,1712.7
6390-DSAZX,1,Month-to-month,Mailed check,Yes,73.6,73.6
8098-LLAZX,4,Month-to-month,Electronic check,Yes,95.45,396.1
0265-EDXBD,32,Month-to-month,Electronic check,Yes,74.9,2303.35
7563-BIUPC,5,Month-to-month,Electronic check,Yes,80.6,415.55
2321-OMBXY,38,One year,Credit card (automatic),No,80.3,3058.65
2840-XANRC,24,Month-to-month,Electronic check,Yes,93.15,2231.05
5020-ZSTTY,54,One year,Bank transfer (automatic),No,82.45,4350.1
5804-LEPIM,2,Month-to-month,Electronic check,Yes,70.35,139.05
0122-OAHPZ,7,Month-to-month,Electronic check,Yes,73.85,511.25
2868-SNELZ,2,Month-to-month,Mailed check,No,80.6,155.8
4322-RCYMT,68,One year,Bank transfer (automatic),Yes,75.8,5293.95
6680-NENYN,43,Two year,Electronic check,Yes,104.6,4759.85
1343-EHPYB,63,Month-to-month,Electronic check,Yes,103.4,6603
2034-GDRCN,2,Month-to-month,Electronic check,Yes,90.4,168.2
0219-YTZUE,4,Month-to-month,Bank transfer (automatic),Yes,84.8,371.9
0623-IIHUG,21,Month-to-month,Electronic check,Yes,41.9,840.1
4572-DVCGN,10,Month-to-month,Bank transfer (automatic),Yes,80.25,846
9057-MSWCO,27,Month-to-month,Credit card (automatic),No,30.75,805.1
1010-DIAUQ,5,Month-to-month,Bank transfer (automatic),No,96.5,492.55
0259-GBZSH,2,Month-to-month,Electronic check,Yes,85.65,181.5
9601-BRXPO,25,Month-to-month,Bank transfer (automatic),Yes,104.95,2566.5
6905-NIQIN,1,Month-to-month,Mailed check,No,50.65,50.65
5167-ZFFMM,1,Month-to-month,Credit card (automatic),Yes,90.85,90.85
4895-TMWIR,11,Month-to-month,Mailed check,No,19.95,214.75
0533-BNWKF,55,Month-to-month,Electronic check,Yes,85.45,4874.7
6599-CEBNN,34,Month-to-month,Credit card (automatic),Yes,73.95,2524.45
0979-PHULV,69,Month-to-month,Credit card (automatic),Yes,99.45,7007.6
4800-VHZKI,1,Month-to-month,Mailed check,Yes,19.9,19.9
7989-CHGTL,1,Month-to-month,Mailed check,Yes,19.6,19.6
0334-GDDSO,3,Month-to-month,Electronic check,Yes,81.35,233.7
0578-SKVMF,22,Month-to-month,Electronic check,No,83.3,1845.9
5564-NEMQO,1,Month-to-month,Bank transfer (automatic),Yes,75.3,75.3
9063-ZGTUY,61,Month-to-month,Mailed check,Yes,19.4,1182.55
2957-LOLHO,12,Month-to-month,Bank transfer (automatic),Yes,45.4,518.9
7752-XUSCI,60,Month-to-month,Electronic check,Yes,105.9,6396.45
4110-PFEUZ,1,Month-to-month,Mailed check,No,69.55,69.55
0256-LTHVJ,28,Month-to-month,Electronic check,Yes,81.05,2227.1
0880-TKATG,4,Month-to-month,Electronic check,No,101.15,385.9
3811-VBYBZ,7,Month-to-month,Electronic check,Yes,99.8,673.25
4640-UHDOS,13,Month-to-month,Electronic check,No,55.95,734.35
3583-EKAPL,1,Month-to-month,Electronic check,Yes,55.0,55
9399-APLBT,1,Month-to-month,Electronic check,Yes,74.7,74.7
2359-KMGLI,24,Month-to-month,Electronic check,Yes,80.25,1861.5
0306-JAELE,5,Month-to-month,Electronic check,Yes,96.1,453.4
6227-HWPWX,15,Month-to-month,Bank transfer (automatic),No,69.0,994.8
0447-BEMNG,48,Month-to-month,Bank transfer (automatic),Yes,45.3,2145
5949-XIKAE,8,Month-to-month,Electronic check,Yes,83.55,680.05
8372-JUXUI,1,Month-to-month,Electronic check,Yes,74.35,74.35
0388-EOPEX,2,Month-to-month,Electronic check,Yes,74.4,139.4
8205-OTCHB,22,One year,Bank transfer (automatic),Yes,43.75,903.6
6235-VDHOM,5,Month-to-month,Electronic check,No,28.45,131.05
7783-YKGDV,12,Month-to-month,Bank transfer (automatic),Yes,99.7,1238.45
5609-CEBID,20,Month-to-month,Electronic check,Yes,94.1,1782.4
7218-HKQFK,2,Month-to-month,Electronic check,Yes,94.2,167.5
4636-QRJKY,6,Month-to-month,Electronic check,Yes,80.5,502.85
5956-VKDTT,5,Month-to-month,Electronic check,Yes,74.35,334.8
9412-GHEEC,40,Month-to-month,Bank transfer (automatic),No,104.8,4131.95
0257-ZESQC,27,Month-to-month,Bank transfer (automatic),Yes,75.2,1929.35
6825-UYPFK,23,Month-to-month,Bank transfer (automatic),No,75.6,1758.6
8397-MVTAZ,34,Month-to-month,Electronic check,Yes,100.05,3480
9282-IZGQK,1,Month-to-month,Electronic check,Yes,85.0,85
1342-JPNKI,10,Month-to-month,Bank transfer (automatic),Yes,86.05,834.1
2817-NTQDO,13,Month-to-month,Credit card (automatic),Yes,45.55,597
6986-IJDHX,39,Month-to-month,Mailed check,Yes,86.3,3266
5301-GAUUY,32,Month-to-month,Bank transfer (automatic),Yes,80.35,2596.15
0939-YAPAF,35,Month-to-month,Electronic check,Yes,100.25,3527.6
4710-FDUIZ,56,One year,Credit card (automatic),No,100.3,5614.45
1218-VKFPE,12,Month-to-month,Mailed check,No,19.0,233.55
3627-FHKBK,1,Month-to-month,Mailed check,No,75.3,75.3
2865-TCHJW,4,Month-to-month,Electronic check,Yes,89.2,346.2
5192-EBGOV,1,Month-to-month,Electronic check,Yes,85.7,85.7
0719-SYFRB,12,Month-to-month,Mailed check,Yes,61.65,713.75
3419-SNJJD,65,Month-to-month,Bank transfer (automatic),No,105.25,6786.4
6543-CPZMK,9,Month-to-month,Electronic check,Yes,29.95,248.95
4765-OXPPD,9,Month-to-month,Mailed check,No,65.0,663.05
1009-IRMNA,7,Month-to-month,Bank transfer (automatic),No,20.0,137.6
4554-YGZIH,49,Month-to-month,Credit card (automatic),No,90.05,4547.25
5099-BAILX,43,Month-to-month,Bank transfer (automatic),Yes,110.75,4687.9
7207-RMRDB,65,Month-to-month,Electronic check,Yes,105.5,6985.65
4913-EHYUI,56,One year,Bank transfer (automatic),Yes,104.55,5794.65
0195-IESCP,10,Month-to-month,Electronic check,Yes,85.25,855.3
4580-TMHJU,43,Month-to-month,Electronic check,No,56.15,2499.3
0970-ETWGE,1,Month-to-month,Electronic check,Yes,89.55,89.55
1626-ERCMM,20,Month-to-month,Electronic check,Yes,94.55,1899.65
0887-HJGAR,1,Month-to-month,Mailed check,Yes,45.7,45.7
5644-PDMZC,2,Month-to-month,Electronic check,No,89.5,161.5
9576-ANLXO,3,Month-to-month,Bank transfer (automatic),Yes,69.55,222.3
2024-BASKD,1,Month-to-month,Mailed check,Yes,74.6,74.6
4160-AMJTL,8,Month-to-month,Electronic check,No,19.65,164.3
4464-JCOLN,2,One year,Mailed check,No,19.85,35.9
5650-VDUDS,4,Month-to-month,Mailed check,Yes,24.25,96.05
7538-GWHML,2,Month-to-month,Electronic check,No,69.65,145.15
3859-CVCET,4,Month-to-month,Mailed check,No,45.65,191.05
3276-HDUEG,1,Month-to-month,Mailed check,Yes,75.05,75.05
0823-HSCDJ,52,Month-to-month,Electronic check,Yes,49.15,2550.9
0822-GAVAP,2,Month-to-month,Electronic check,Yes,34.7,62.25
1448-PWKYE,1,Month-to-month,Electronic check,No,80.0,80
0067-DKWBL,2,Month-to-month,Electronic check,Yes,49.25,91.1
2276-YDAVZ,3,Month-to-month,Credit card (automatic),Yes,75.1,270.7
5896-NPFWW,3,Month-to-month,Electronic check,Yes,50.15,168.15
7133-VBDCG,25,Month-to-month,Bank transfer (automatic),Yes,79.85,2015.35
1029-QFBEN,1,Month-to-month,Mailed check,No,19.55,19.55
4952-YSOGZ,4,Month-to-month,Electronic check,Yes,85.95,381.3
1589-AGTLK,3,Month-to-month,Electronic check,Yes,45.35,141.5
5244-IRFIH,33,Month-to-month,Electronic check,Yes,94.5,3105.55
2684-EIWEO,30,Month-to-month,Credit card (automatic),No,91.7,2758.15
6439-GTPCA,45,Month-to-month,Electronic check,Yes,87.25,3941.7
5138-WVKYJ,10,Month-to-month,Electronic check,No,98.55,1008.55
6683-VLCTZ,20,Month-to-month,Electronic check,Yes,98.55,1842.8
2189-WWOEW,15,Month-to-month,Bank transfer (automatic),Yes,85.9,1269.55
1894-IGFSG,22,Month-to-month,Electronic check,No,89.25,1907.85
7379-POKDZ,3,Month-to-month,Electronic check,Yes,70.3,208.85
0236-HFWSV,15,Month-to-month,Electronic check,Yes,93.35,1444.65
3900-AQPHZ,1,Month-to-month,Mailed check,No,19.9,19.9
5842-POCOP,5,Month-to-month,Mailed check,Yes,88.9,454.15
2037-XJFUP,33,One year,Electronic check,Yes,95.8,3036.75
7314-OXENN,2,Month-to-month,Electronic check,Yes,82.0,184.65
0322-CHQRU,2,Month-to-month,Electronic check,No,45.35,89.5
4678-DVQEO,1,Month-to-month,Electronic check,Yes,52.2,52.2
0691-IFBQW,46,One year,Electronic check,Yes,110.0,4874.8
3009-JWMPU,62,One year,Electronic check,Yes,96.75,6125.4
1450-GALXR,10,Month-to-month,Electronic check,Yes,98.5,1058.25
3138-BKYAV,6,Month-to-month,Electronic check,Yes,85.35,489.45
4289-DTDKW,40,Month-to-month,Electronic check,Yes,101.3,4113.1
1820-TQVEV,1,Month-to-month,Electronic check,Yes,69.55,69.55
2239-JALAW,58,One year,Bank transfer (automatic),Yes,103.25,6017.65
4853-RULSV,70,Two year,Credit card (automatic),Yes,104.0,7250.15
6275-YDUVO,2,Month-to-month,Mailed check,Yes,86.2,178.7
0115-TFERT,21,Month-to-month,Electronic check,Yes,111.2,2317.1
2311-QYMUQ,16,Month-to-month,Credit card (automatic),Yes,89.45,1430.25
3643-AHCFP,7,Month-to-month,Bank transfer (automatic),Yes,95.6,644.35
3104-OWCGK,60,One year,Electronic check,No,90.95,5453.4
9101-BWFSS,50,One year,Electronic check,No,108.55,5610.7
9231-ZJYAM,4,Month-to-month,Electronic check,Yes,78.85,292.8
6982-SSHFK,1,Month-to-month,Mailed check,No,44.4,44.4
0727-BMPLR,55,One year,Electronic check,Yes,100.0,5509.3
1038-ZAGBI,12,One year,Bank transfer (automatic),No,19.8,229.6
3027-ZTDHO,1,Month-to-month,Electronic check,Yes,89.9,89.9
2382-BCKQJ,62,One year,Electronic check,Yes,100.15,6413.65
2207-NHRJK,1,Month-to-month,Electronic check,No,50.8,50.8
0947-MUGVO,20,Month-to-month,Electronic check,Yes,73.65,1463.5
9944-HKVVB,3,Month-to-month,Electronic check,Yes,95.1,307.4
4124-MMETB,22,Month-to-month,Credit card (automatic),Yes,94.65,2104.55
3671-SHRSP,4,Month-to-month,Mailed check,Yes,80.6,319.15
3313-QKNKB,59,One year,Electronic check,No,85.55,5084.65
5073-WXOYN,60,Month-to-month,Electronic check,Yes,50.8,3027.4
0207-MDKNV,15,Month-to-month,Electronic check,No,105.1,1582.75
9851-KIELU,10,Month-to-month,Electronic check,Yes,110.1,1043.3
3908-BLSYF,6,Month-to-month,Electronic check,No,83.9,497.55
7549-MYGPK,63,Month-to-month,Electronic check,Yes,100.55,6215.35
3804-RVTGV,50,Month-to-month,Bank transfer (automatic),Yes,103.85,5017.9
9227-LUNBG,1,Month-to-month,Electronic check,No,24.6,24.6
4315-MURBD,12,Month-to-month,Bank transfer (automatic),Yes,98.9,1120.95
9734-YWGEX,9,Month-to-month,Credit card (automatic),No,98.3,923.5
2719-BDAQO,17,Month-to-month,Electronic check,No,93.85,1625.65
0781-LKXBR,9,Month-to-month,Electronic check,Yes,100.5,918.6
1907-UBQFC,10,Month-to-month,Electronic check,Yes,72.85,688.65
6513-EECDB,1,Month-to-month,Electronic check,Yes,73.55,73.55
7074-IEVOJ,3,Month-to-month,Electronic check,Yes,79.4,205.05
9625-QSTYE,13,Month-to-month,Electronic check,Yes,81.15,952.3
4750-ZRXIU,4,Month-to-month,Electronic check,Yes,84.6,360.1
6400-BWQKW,6,Month-to-month,Electronic check,Yes,79.05,434.5
6680-WKXRZ,3,Month-to-month,Bank transfer (automatic),No,74.4,215.8
7028-DVOIQ,35,Month-to-month,Electronic check,Yes,99.05,3395.8
4208-UFFGW,2,Month-to-month,Mailed check,No,44.95,85.15
9448-REEVD,1,Month-to-month,Credit card (automatic),No,44.7,44.7
9117-SHLZX,1,Month-to-month,Mailed check,Yes,45.7,45.7
9889-TMAHG,8,Month-to-month,Credit card (automatic),No,100.3,832.35
4541-RMRLG,7,Month-to-month,Electronic check,No,19.25,112.3
3158-MOERK,2,Month-to-month,Electronic check,Yes,96.0,174.8
7294-TMAOP,1,Month-to-month,Electronic check,No,90.55,90.55
8919-FYFQZ,44,Month-to-month,Electronic check,Yes,30.35,1359.7
2834-JRTUA,71,Two year,Electronic check,Yes,108.05,7532.15
5875-YPQFJ,1,Month-to-month,Electronic check,Yes,69.9,69.9
6646-QVXLR,62,One year,Electronic check,Yes,103.75,6383.35
8603-IJWDN,1,Month-to-month,Electronic check,Yes,86.6,86.6
9369-XFEHK,33,Month-to-month,Bank transfer (automatic),Yes,80.6,2656.5
3842-IYKUE,35,Month-to-month,Credit card (automatic),No,85.3,2917.5
6641-XRPSU,34,Month-to-month,Credit card (automatic),Yes,70.0,2416.1
1374-DMZUI,4,Month-to-month,Electronic check,Yes,94.3,424.45
8357-EQXFO,7,Month-to-month,Electronic check,Yes,95.35,660.9
1989-PRJHP,27,Month-to-month,Electronic check,Yes,75.5,1893.95
9524-EGPJC,18,Month-to-month,Electronic check,Yes,90.1,1612.75
6993-OHLXR,2,Month-to-month,Electronic check,No,68.95,119.75
8818-XYFCQ,32,Month-to-month,Credit card (automatic),Yes,99.55,3204.65
4695-VADHF,18,Month-to-month,Electronic check,No,57.45,990.85
3863-IUBJR,12,One year,Credit card (automatic),No,53.65,696.35
4822-RVYBB,8,Month-to-month,Electronic check,Yes,100.6,819.4
8436-BJUMM,26,Month-to-month,Electronic check,Yes,83.75,2070.6
4184-TJFAN,3,Month-to-month,Mailed check,Yes,88.3,273.75
4145-UQXUQ,8,Month-to-month,Electronic check,Yes,92.1,729.95
9948-YPTDG,38,Month-to-month,Electronic check,Yes,79.45,3013.05
1236-WFCDV,14,Month-to-month,Credit card (automatic),No,90.45,1266.1
4883-QICIH,32,Month-to-month,Bank transfer (automatic),Yes,69.75,2347.9
8329-IBCTI,1,Month-to-month,Mailed check,No,19.65,19.65
1271-SJBGZ,12,Month-to-month,Electronic check,Yes,43.65,526.95
5669-SRAIP,5,Month-to-month,Electronic check,No,39.5,210.75
5981-ITEMU,40,Month-to-month,Bank transfer (automatic),Yes,97.1,3706.95
6941-PMGEP,5,Month-to-month,Electronic check,Yes,80.0,412.5
1624-WOIWJ,10,Month-to-month,Mailed check,Yes,84.7,832.05
2074-GKOWZ,2,Month-to-month,Bank transfer (automatic),Yes,89.55,185.55
0376-YMCJC,23,Month-to-month,Electronic check,Yes,90.6,1943.2
0634-SZPQA,23,Month-to-month,Bank transfer (automatic),Yes,90.05,2169.8
5536-RTPWK,49,Month-to-month,Bank transfer (automatic),Yes,99.05,4853.75
6166-ILMNY,2,Month-to-month,Bank transfer (automatic),No,69.75,144.55
3097-NNSPB,2,Month-to-month,Credit card (automatic),Yes,49.05,91.1
0655-RBDUG,7,Month-to-month,Bank transfer (automatic),Yes,98.05,713
4361-BKAXE,41,Month-to-month,Bank transfer (automatic),Yes,114.5,4527.45
9878-TNQGW,2,Month-to-month,Electronic check,Yes,80.95,171.15
4441-NIHPT,13,Month-to-month,Electronic check,Yes,74.3,940.35
8999-BOHSE,11,Month-to-month,Bank transfer (automatic),No,89.7,1047.7
7029-RPUAV,17,Month-to-month,Credit card (automatic),Yes,100.45,1622.45
4607-CHPCA,25,One year,Electronic check,Yes,90.4,2178.6
8824-RWFXJ,3,Month-to-month,Mailed check,Yes,56.15,168.15
9763-PDTKK,4,Month-to-month,Bank transfer (automatic),Yes,94.4,387.2
7627-JKIAZ,37,Month-to-month,Credit card (automatic),Yes,78.95,2839.65
4081-DYXAV,19,One year,Credit card (automatic),Yes,44.85,893.55
8111-SLLHI,39,Month-to-month,Electronic check,Yes,105.65,4284.8
0927-LCSMG,7,Month-to-month,Mailed check,No,74.65,544.55
8257-RZAHR,14,Month-to-month,Bank transfer (automatic),Yes,64.7,941
5293-WXJAK,11,Month-to-month,Bank transfer (automatic),Yes,104.05,1133.65
0841-NULXI,1,Month-to-month,Electronic check,Yes,35.55,35.55
7851-WZEKY,2,Month-to-month,Electronic check,Yes,95.15,196.9
8844-TONUD,13,Month-to-month,Mailed check,Yes,96.65,1162.85
4086-YQSNZ,3,Month-to-month,Electronic check,Yes,80.4,224.05
5868-CZJDR,1,Month-to-month,Mailed check,Yes,31.35,31.35
0135-NMXAP,12,Month-to-month,Bank transfer (automatic),Yes,89.75,1052.4
6270-OMFIW,60,One year,Electronic check,Yes,94.4,5610.25
0107-WESLM,1,Month-to-month,Electronic check,Yes,19.85,19.85
3992-YWPKO,6,Month-to-month,Credit card (automatic),Yes,109.9,669.45
0125-LZQXK,15,Month-to-month,Electronic check,Yes,101.35,1553.95
8399-YNDCH,21,Month-to-month,Bank transfer (automatic),Yes,60.05,1236.15
5673-FSSMF,1,Month-to-month,Electronic check,Yes,60.15,60.15
1579-KLYDT,7,Month-to-month,Electronic check,Yes,90.45,593.45
3927-NLNRY,53,One year,Bank transfer (automatic),Yes,94.25,4867.95
6358-LYNGM,1,Month-to-month,Electronic check,Yes,74.9,74.9
5494-HECPR,1,Month-to-month,Electronic check,Yes,80.25,80.25
9824-BEMCV,17,Month-to-month,Electronic check,Yes,69.0,1149.65
1373-ORVIZ,11,Month-to-month,Electronic check,Yes,66.35,740.8
9866-QEVEE,19,Month-to-month,Bank transfer (automatic),Yes,86.0,1532.45
9897-KXHCM,3,Month-to-month,Electronic check,Yes,80.3,250.05
7979-CORPM,24,Month-to-month,Credit card (automatic),Yes,90.55,2282.55
1618-CFHME,2,Month-to-month,Electronic check,Yes,75.9,143.35
3165-HDOEW,1,Month-to-month,Mailed check,Yes,45.85,45.85
6581-NQCBA,16,Month-to-month,Electronic check,Yes,49.95,810.2
1689-MRZQR,34,Month-to-month,Electronic check,No,78.3,2564.3
5835-BEQEU,3,Month-to-month,Electronic check,Yes,76.95,228.4
5565-FILXA,16,Month-to-month,Electronic check,Yes,96.15,1529.2
5552-ZNFSJ,1,Month-to-month,Electronic check,No,45.3,45.3
2223-KAGMX,15,Month-to-month,Bank transfer (automatic),No,19.4,289.3
7321-PKUYW,11,Month-to-month,Electronic check,No,90.15,987.95
2833-SLKDQ,1,Month-to-month,Mailed check,No,45.05,45.05
7595-EUIVN,1,Month-to-month,Electronic check,No,75.8,75.8
2026-TGDHM,7,Month-to-month,Electronic check,Yes,79.3,523.15
4030-VPZBD,2,Month-to-month,Electronic check,Yes,30.9,59.05
4187-CINZD,46,One year,Credit card (automatic),No,95.25,4424.2
6818-WOBHJ,68,Month-to-month,Bank transfer (automatic),Yes,89.6,6127.6
2408-TZMJL,59,One year,Electronic check,Yes,110.15,6448.05
9134-CEQMF,7,Month-to-month,Electronic check,Yes,89.5,676.7
7993-PYKOF,8,Month-to-month,Electronic check,No,75.0,632.95
5027-XWQHA,6,Month-to-month,Electronic check,No,44.75,270.95
4566-QVRRW,11,Month-to-month,Electronic check,Yes,44.05,483.7
8519-IMDHU,15,Month-to-month,Bank transfer (automatic),Yes,85.6,1345.55
0201-OAMXR,70,One year,Credit card (automatic),No,115.55,8127.6
3372-KWFBM,16,Month-to-month,Electronic check,Yes,86.6,1281
7831-QGOXH,18,Month-to-month,Electronic check,Yes,85.2,1553.9
6393-WRYZE,34,Month-to-month,Electronic check,Yes,97.65,3207.55
6599-RCLCJ,47,Month-to-month,Electronic check,Yes,109.55,5124.55
9831-BPFRI,39,One year,Electronic check,Yes,89.55,3474.45
1725-MIMXW,1,Month-to-month,Mailed check,Yes,19.45,19.45
0031-PVLZI,4,Month-to-month,Mailed check,No,20.35,76.35
7206-GZCDC,1,Month-to-month,Electronic check,Yes,69.25,69.25
4791-QRGMF,59,One year,Bank transfer (automatic),Yes,99.5,5961.1
1768-ZAIFU,1,Month-to-month,Electronic check,Yes,25.2,25.2
4671-LXRDQ,2,Month-to-month,Mailed check,Yes,45.0,96.45
1934-SJVJK,1,Month-to-month,Mailed check,No,20.15,20.15
3838-OZURD,66,Month-to-month,Credit card (automatic),Yes,105.0,7133.25
9269-CQOOL,3,Month-to-month,Credit card (automatic),Yes,54.7,169.45
2845-HSJCY,14,Month-to-month,Electronic check,Yes,87.25,1258.6
1184-PJVDB,10,Month-to-month,Electronic check,Yes,79.95,857.2
9415-DPEWS,18,Month-to-month,Electronic check,Yes,88.35,1639.3
7943-RQCHR,9,Month-to-month,Electronic check,Yes,94.75,889.9
3793-MMFUH,13,Month-to-month,Electronic check,Yes,95.05,1290
3249-ZPQRG,4,Month-to-month,Electronic check,No,78.45,330.05
2568-BRGYX,4,Month-to-month,Electronic check,Yes,70.2,237.95
7721-JXEAW,59,Month-to-month,Bank transfer (automatic),Yes,41.05,2452.7
7249-WBIYX,10,Month-to-month,Electronic check,Yes,85.6,813.85
6567-HOOPW,1,Month-to-month,Electronic check,Yes,79.2,79.2
3164-AALRN,5,One year,Mailed check,Yes,70.0,347.4
3334-CTHOL,1,Month-to-month,Bank transfer (automatic),Yes,49.95,49.95
4704-ERYFC,22,Month-to-month,Electronic check,Yes,69.25,1554
8621-MNIHH,34,Month-to-month,Electronic check,Yes,94.25,3217.55
0471-LVHGK,41,One year,Electronic check,Yes,73.0,3001.2
9518-RWHZL,64,One year,Credit card (automatic),Yes,100.05,6254.2
5419-CONWX,4,Month-to-month,Credit card (automatic),Yes,99.8,442.85
6240-EURKS,18,Month-to-month,Electronic check,Yes,35.0,553
6960-HVYXR,1,Month-to-month,Electronic check,No,76.0,76
7024-OHCCK,2,Month-to-month,Electronic check,Yes,93.85,170.85
7861-UVUFT,15,Month-to-month,Electronic check,Yes,84.3,1308.4
5357-TZHPP,9,Month-to-month,Credit card (automatic),Yes,84.4,732.5
0680-DFNNY,15,Month-to-month,Electronic check,Yes,101.1,1504.05
7767-UXAGJ,1,Month-to-month,Electronic check,Yes,50.45,50.45
1571-SAVHK,12,Month-to-month,Mailed check,Yes,99.95,1132.75
9546-CQJSU,2,Month-to-month,Electronic check,Yes,91.4,193.6
