CustomerID,Gender,SeniorCitizen,Partner,Dependents
3627-FHKBK,Female,No,No,No
2865-TCHJW,Female,Yes,No,No
5192-EBGOV,Female,Yes,No,No
0719-SYFRB,Female,No,No,No
3419-SNJJD,Female,Yes,Yes,No
6543-CPZMK,Male,No,Yes,No
4765-OXPPD,Female,No,Yes,No
1009-IRMNA,Female,No,No,No
4554-YGZIH,Male,Yes,Yes,No
5099-BAILX,Male,Yes,Yes,No
7207-RMRDB,Female,No,Yes,No
4913-EHYUI,Male,Yes,Yes,No
0195-IESCP,Male,No,Yes,No
4580-TMHJU,Female,No,Yes,No
0970-ETWGE,Male,No,No,No
1626-ERCMM,Male,Yes,Yes,No
0887-HJGAR,Male,No,No,No
5644-PDMZC,Female,Yes,No,No
9576-ANLXO,Female,No,No,No
2024-BASKD,Female,No,No,No
4160-AMJTL,Female,Yes,No,No
4464-JCOLN,Male,No,Yes,No
5650-VDUDS,Female,No,No,No
7538-GWHML,Female,No,No,No
3859-CVCET,Female,No,No,No
3276-HDUEG,Female,No,No,No
0823-HSCDJ,Male,Yes,No,No
0822-GAVAP,Female,No,No,No
1448-PWKYE,Male,No,Yes,No
0067-DKWBL,Male,Yes,No,No
2276-YDAVZ,Female,No,No,No
5896-NPFWW,Male,No,Yes,No
7133-VBDCG,Female,No,No,No
1029-QFBEN,Male,No,No,No
4952-YSOGZ,Female,No,Yes,No
1589-AGTLK,Male,No,No,No
5244-IRFIH,Male,Yes,Yes,No
2684-EIWEO,Female,Yes,No,No
6439-GTPCA,Female,No,No,No
5138-WVKYJ,Male,No,No,No
6683-VLCTZ,Male,Yes,No,No
2189-WWOEW,Female,No,No,No
1894-IGFSG,Female,No,No,No
7379-POKDZ,Male,No,Yes,No
0236-HFWSV,Male,No,No,No
3900-AQPHZ,Female,No,No,No
5842-POCOP,Female,No,Yes,No
2037-XJFUP,Male,No,Yes,No
7314-OXENN,Male,No,No,No
0322-CHQRU,Male,No,No,No
4678-DVQEO,Female,No,No,No
0691-IFBQW,Female,Yes,No,No
3009-JWMPU,Male,No,No,No
1450-GALXR,Female,No,No,No
3138-BKYAV,Male,No,No,No
4289-DTDKW,Male,No,Yes,No
1820-TQVEV,Male,No,No,No
2239-JALAW,Male,No,No,No
4853-RULSV,Male,No,No,No
6275-YDUVO,Female,No,No,No
0115-TFERT,Male,No,Yes,No
2311-QYMUQ,Female,No,Yes,No
3643-AHCFP,Male,Yes,Yes,No
3104-OWCGK,Male,No,Yes,No
9101-BWFSS,Female,No,Yes,No
9231-ZJYAM,Female,Yes,No,No
6982-SSHFK,Male,No,No,No
0727-BMPLR,Female,Yes,No,No
1038-ZAGBI,Female,No,Yes,No
3027-ZTDHO,Male,No,No,No
2382-BCKQJ,Female,No,No,No
2207-NHRJK,Male,No,No,No
0947-MUGVO,Male,Yes,Yes,No
9944-HKVVB,Female,No,No,No
4124-MMETB,Male,No,No,No
3671-SHRSP,Male,No,Yes,No
3313-QKNKB,Male,No,Yes,No
5073-WXOYN,Female,No,No,No
0207-MDKNV,Female,No,No,No
9851-KIELU,Male,No,No,No
3908-BLSYF,Female,No,No,No
7549-MYGPK,Female,No,Yes,No
3804-RVTGV,Male,No,Yes,No
9227-LUNBG,Female,No,No,No
4315-MURBD,Female,No,No,No
9734-YWGEX,Female,No,No,No
2719-BDAQO,Male,No,No,No
0781-LKXBR,Male,Yes,No,No
1907-UBQFC,Male,Yes,No,No
6513-EECDB,Male,Yes,Yes,No
7074-IEVOJ,Female,Yes,No,No
9625-QSTYE,Female,No,No,No
4750-ZRXIU,Female,Yes,No,No
6400-BWQKW,Female,No,No,No
6680-WKXRZ,Female,No,No,No
7028-DVOIQ,Male,Yes,No,No
4208-UFFGW,Male,Yes,No,No
9448-REEVD,Male,No,Yes,No
9117-SHLZX,Male,No,No,No
9889-TMAHG,Male,Yes,No,No
4541-RMRLG,Male,No,No,No
3158-MOERK,Female,No,No,No
7294-TMAOP,Female,No,No,No
8919-FYFQZ,Male,Yes,Yes,No
2834-JRTUA,Male,No,No,No
5875-YPQFJ,Male,No,No,No
6646-QVXLR,Male,Yes,Yes,No
8603-IJWDN,Male,No,No,No
9369-XFEHK,Female,Yes,Yes,No
3842-IYKUE,Female,No,No,No
6641-XRPSU,Female,No,No,No
1374-DMZUI,Female,Yes,No,No
8357-EQXFO,Female,No,No,No
1989-PRJHP,Male,Yes,Yes,No
9524-EGPJC,Female,No,No,No
6993-OHLXR,Female,No,No,No
8818-XYFCQ,Male,No,Yes,No
4695-VADHF,Male,No,Yes,No
3863-IUBJR,Male,No,Yes,No
4822-RVYBB,Male,Yes,No,No
8436-BJUMM,Male,No,Yes,No
4184-TJFAN,Female,Yes,Yes,No
4145-UQXUQ,Female,Yes,No,No
9948-YPTDG,Male,No,Yes,No
1236-WFCDV,Male,Yes,No,No
4883-QICIH,Male,No,Yes,No
8329-IBCTI,Female,No,No,No
1271-SJBGZ,Male,Yes,No,No
5669-SRAIP,Female,No,No,No
5981-ITEMU,Male,No,Yes,No
6941-PMGEP,Female,No,No,No
1624-WOIWJ,Female,No,No,No
2074-GKOWZ,Male,No,Yes,No
0376-YMCJC,Male,No,No,No
0634-SZPQA,Female,No,No,No
5536-RTPWK,Male,No,Yes,No
6166-ILMNY,Female,No,No,No
3097-NNSPB,Female,No,No,No
0655-RBDUG,Male,No,No,No
4361-BKAXE,Female,No,No,No
9878-TNQGW,Male,No,No,No
4441-NIHPT,Female,Yes,No,No
8999-BOHSE,Female,Yes,No,No
7029-RPUAV,Male,Yes,Yes,No
4607-CHPCA,Male,No,Yes,No
8824-RWFXJ,Male,No,Yes,No
9763-PDTKK,Female,No,No,No
7627-JKIAZ,Female,No,Yes,No
4081-DYXAV,Female,No,No,No
8111-SLLHI,Male,Yes,Yes,No
0927-LCSMG,Male,No,No,No
8257-RZAHR,Female,No,Yes,No
5293-WXJAK,Female,Yes,Yes,No
0841-NULXI,Male,No,No,No
7851-WZEKY,Female,No,No,No
8844-TONUD,Male,No,Yes,No
4086-YQSNZ,Female,Yes,Yes,No
5868-CZJDR,Male,No,No,No
0135-NMXAP,Female,No,No,No
6270-OMFIW,Male,No,Yes,No
0107-WESLM,Male,No,No,No
3992-YWPKO,Female,No,No,No
0125-LZQXK,Male,No,No,No
8399-YNDCH,Male,Yes,No,No
5673-FSSMF,Female,No,No,No
1579-KLYDT,Male,No,No,No
3927-NLNRY,Male,No,Yes,No
6358-LYNGM,Male,No,No,No
5494-HECPR,Female,No,No,No
9824-BEMCV,Male,No,Yes,No
1373-ORVIZ,Female,No,Yes,No
9866-QEVEE,Male,No,No,No
9897-KXHCM,Female,No,Yes,No
7979-CORPM,Male,No,No,No
1618-CFHME,Female,No,No,No
3165-HDOEW,Male,No,Yes,No
6581-NQCBA,Female,No,Yes,No
1689-MRZQR,Male,No,Yes,No
5835-BEQEU,Male,No,No,No
5565-FILXA,Female,Yes,No,No
5552-ZNFSJ,Male,No,No,No
2223-KAGMX,Female,No,No,No
7321-PKUYW,Female,No,No,No
2833-SLKDQ,Male,No,No,No
7595-EUIVN,Female,No,No,No
2026-TGDHM,Female,No,No,No
4030-VPZBD,Female,No,No,No
4187-CINZD,Female,Yes,No,No
6818-WOBHJ,Female,Yes,Yes,No
2408-TZMJL,Male,No,Yes,No
9134-CEQMF,Male,Yes,Yes,No
7993-PYKOF,Male,No,Yes,No
5027-XWQHA,Male,No,No,No
4566-QVRRW,Female,No,Yes,No
8519-IMDHU,Male,Yes,Yes,No
0201-OAMXR,Female,No,No,No
3372-KWFBM,Male,Yes,No,No
7831-QGOXH,Female,No,No,No
6393-WRYZE,Female,No,Yes,No
6599-RCLCJ,Male,No,Yes,No
9831-BPFRI,Female,No,Yes,No
1725-MIMXW,Male,No,No,No
0031-PVLZI,Female,No,Yes,No
7206-GZCDC,Female,Yes,No,No
4791-QRGMF,Male,No,Yes,No
1768-ZAIFU,Female,Yes,No,No
4671-LXRDQ,Male,No,No,No
1934-SJVJK,Male,No,No,No
3838-OZURD,Male,No,Yes,No
9269-CQOOL,Male,No,No,No
2845-HSJCY,Female,No,Yes,No
1184-PJVDB,Male,No,Yes,No
9415-DPEWS,Female,No,No,No
7943-RQCHR,Female,No,No,No
3793-MMFUH,Female,Yes,No,No
3249-ZPQRG,Male,No,No,No
2568-BRGYX,Male,No,No,No
7721-JXEAW,Male,No,Yes,No
7249-WBIYX,Male,No,Yes,No
6567-HOOPW,Female,Yes,No,No
3164-AALRN,Male,No,No,No
3334-CTHOL,Female,No,No,No
4704-ERYFC,Female,No,Yes,No
8621-MNIHH,Female,Yes,Yes,No
0471-LVHGK,Male,No,Yes,No
9518-RWHZL,Female,No,No,No
5419-CONWX,Female,Yes,No,No
6240-EURKS,Female,No,No,No
6960-HVYXR,Female,No,No,No
7024-OHCCK,Female,Yes,No,No
7861-UVUFT,Female,No,Yes,No
5357-TZHPP,Male,Yes,No,No
0680-DFNNY,Male,No,Yes,No
7767-UXAGJ,Male,No,No,No
1571-SAVHK,Male,No,No,No
9546-CQJSU,Female,No,No,No
0506-LVNGN,Female,Yes,No,No
2951-QOQTK,Male,No,No,No
3473-XIIIT,Female,No,Yes,No
7893-IXHRQ,Male,No,No,No
2952-QAYZF,Male,No,No,No
4763-PGDPO,Female,No,No,No
5394-SVGJV,Male,No,No,No
9283-LZQOH,Male,No,Yes,No
7079-QRCBC,Female,No,No,No
5469-CTCWN,Male,No,Yes,No
9851-QXEEQ,Male,No,No,No
9809-IMGCQ,Male,Yes,No,No
5208-HFSBT,Female,No,No,No
3254-YRILK,Male,Yes,No,No
2667-WYLWJ,Female,No,Yes,No
0529-ONKER,Male,Yes,No,No
5240-IJOQT,Male,Yes,No,No
1092-GANHU,Male,No,No,No
0661-XEYAN,Female,Yes,No,No
7881-EVUAD,Female,No,No,No
5766-XQXMQ,Female,No,No,No
3703-VAVCL,Male,No,Yes,No
8519-QJGJD,Female,No,No,No
6326-MTTXK,Male,No,No,No
0330-IVZHA,Female,No,Yes,No
2886-KEFUM,Female,No,Yes,No
4237-RLAQD,Male,No,No,No
9651-GTSAQ,Female,No,Yes,No
3186-BAXNB,Female,No,No,No
0637-YLETY,Female,No,No,No
1157-BQCUW,Male,No,No,No
2660-EMUBI,Male,Yes,No,No
7675-OZCZG,Female,Yes,No,No
2003-CKLOR,Male,No,No,No
9254-RBFON,Female,No,Yes,No
1205-WNWPJ,Female,No,No,No
9391-EOYLI,Male,Yes,Yes,No
8387-MOJJT,Female,No,Yes,No
2761-OCIAX,Male,Yes,No,No
3068-OMWZA,Male,Yes,No,No
6032-KRXXO,Male,No,No,No
7459-RRWQZ,Female,No,No,No
4154-AQUGT,Male,Yes,Yes,No
3092-IGHWF,Male,No,Yes,No
8017-LXHFA,Female,Yes,No,No
6352-TWCAU,Female,No,No,No
2929-QNSRW,Female,No,Yes,No
1262-OPMFY,Female,No,Yes,No
4248-QPAVC,Female,Yes,Yes,No
1899-VXWXM,Male,No,No,No
4690-LLKUA,Male,Yes,No,No
3331-HQDTW,Female,No,No,No
9490-DFPMD,Female,Yes,No,No
5442-XSDCW,Male,No,Yes,No
3049-NDXFL,Female,No,No,No
8580-AECUZ,Male,Yes,No,No
7963-GQRMY,Female,No,Yes,No
1228-FZFRV,Male,No,Yes,No
2058-DCJBE,Male,No,No,No
5364-XYIRR,Male,No,Yes,No
4829-AUOAX,Female,No,No,No
5047-LHVLY,Male,Yes,No,No
9158-VCTQB,Female,No,Yes,No
6311-UEUME,Female,No,No,No
6839-ITVZJ,Female,No,Yes,No
0375-HVGXO,Female,No,No,No
8593-WHYHV,Male,No,No,No
6097-EQISJ,Female,No,Yes,No
4423-YLHDV,Female,No,Yes,No
0107-YHINA,Male,No,No,No
8640-SDGKB,Male,No,No,No
4116-TZAQJ,Female,No,No,No
3877-JRJIP,Male,No,No,No
8375-DKEBR,Female,Yes,No,No
7511-YMXVQ,Male,No,No,No
7551-JOHTI,Female,No,No,No
9804-ICWBG,Male,No,No,No
5318-IXUZF,Female,No,No,No
3198-VELRD,Female,No,Yes,No
9436-ZBZCT,Male,No,No,No
7279-BUYWN,Female,Yes,No,No
7156-MHUGY,Male,Yes,No,No
7198-GLXTC,Male,No,No,No
0516-VRYBW,Female,No,No,No
8380-PEFPE,Male,No,No,No
5687-DKDTV,Female,No,No,No
7530-HDYDS,Female,No,No,No
3096-IZETN,Female,No,No,No
5922-ABDVO,Female,No,Yes,No
9172-ANCRX,Female,No,No,No
6910-HADCM,Female,No,No,No
4816-LXZYW,Female,No,No,No
9606-PBKBQ,Male,Yes,Yes,No
3536-IQCTX,Male,Yes,Yes,No
4911-BANWH,Female,No,No,No
8496-EJAUI,Male,No,No,No
3132-TVFDZ,Male,Yes,Yes,No
8080-DDEMJ,Male,Yes,No,No
6365-MTGZX,Male,No,No,No
1349-WXNGG,Male,No,No,No
6990-YNRIO,Male,No,Yes,No
0621-TWIEM,Male,No,No,No
2485-ITVKB,Female,No,Yes,No
3669-OYSJI,Male,No,No,No
1612-EOHDH,Female,No,No,No
6702-OHFWR,Male,Yes,No,No
4510-PYUSH,Female,Yes,No,No
7517-SAWMO,Female,No,Yes,No
4143-HHPMK,Male,No,No,No
7054-LGEQW,Female,No,No,No
0923-PNFUB,Female,No,No,No
3494-JCHRQ,Male,No,No,No
6474-FVJLC,Male,No,No,No
8840-DQLGN,Female,Yes,Yes,No
4547-LYTDD,Female,No,No,No
6770-XUAGN,Female,No,Yes,No
4193-ORFCL,Female,Yes,No,No
7776-QWNFX,Male,Yes,Yes,No
6689-TCZHQ,Female,Yes,No,No
3143-ILDAL,Male,No,No,No
4720-VSTSI,Female,No,No,No
3946-MHCZW,Male,No,No,No
6651-AZVTJ,Male,No,Yes,No
4566-GOLUK,Male,No,Yes,No
2484-DGXPZ,Female,No,Yes,No
4587-NUKOX,Female,No,No,No
0420-BWTPW,Male,No,No,No
8183-ONMXC,Female,No,No,No
9614-RMGHA,Male,No,Yes,No
5054-IEXZT,Male,No,No,No
5834-ASPWA,Male,No,No,No
3948-XHGNA,Male,No,No,No
0565-IYCGT,Male,No,No,No
5445-UTODQ,Female,No,Yes,No
1024-VRZHF,Male,No,Yes,No
9497-QCMMS,Male,Yes,No,No
0348-SDKOL,Female,No,Yes,No
4373-MAVJG,Female,No,Yes,No
8901-HJXTF,Female,No,Yes,No
5419-KLXBN,Female,No,Yes,No
3424-NMNBO,Male,Yes,Yes,No
4514-GFCFI,Female,Yes,No,No
9828-AOQLM,Female,No,Yes,No
8000-REIQB,Female,Yes,No,No
7615-ESMYF,Female,No,Yes,No
3858-VOBET,Male,No,No,No
1447-PJGGA,Female,No,No,No
8565-CLBZW,Male,No,No,No
9139-WQQDY,Female,No,Yes,No
0224-HJAPT,Male,No,No,No
8086-OVPWV,Male,No,No,No
9430-FRQOC,Female,No,No,No
3074-GQWYX,Male,No,No,No
6845-RGTYS,Female,No,Yes,No
8861-HGGKB,Female,No,No,No
7065-YUNRY,Female,No,No,No
7694-VLBWQ,Male,No,Yes,No
4795-KTRTH,Female,Yes,Yes,No
6481-OGDOO,Male,No,Yes,No
3753-TSEMP,Female,No,Yes,No
8305-VHZBZ,Male,No,No,No
9172-JITSM,Female,No,Yes,No
6298-QDFNH,Male,No,No,No
9961-JBNMK,Male,Yes,No,No
6173-ITPWD,Male,No,Yes,No
9734-UYXQI,Female,No,No,No
2189-UXTKY,Female,No,Yes,No
4958-GZWIY,Male,No,Yes,No
6356-ELRKD,Female,No,No,No
8624-GIOUT,Female,No,No,No
6179-GJPSO,Female,Yes,No,No
3177-LASXD,Female,No,No,No
4897-QSUYC,Female,No,No,No
1084-UQCHV,Male,No,No,No
8290-YWKHZ,Female,Yes,Yes,No
2955-BJZHG,Male,No,Yes,No
3806-DXQOM,Female,No,No,No
9300-RENDD,Male,No,No,No
0761-AETCS,Female,No,No,No
2153-MREFK,Female,No,Yes,No
3106-ULWFW,Female,No,Yes,No
0925-VYDLG,Female,No,No,No
4349-GFQHK,Male,No,No,No
7802-EFKNY,Male,No,Yes,No
8035-BUYVG,Male,No,Yes,No
9787-XVQIU,Male,No,No,No
8945-MUQUF,Male,No,No,No
8051-HJRLT,Female,Yes,No,No
3023-GFLBR,Female,No,Yes,No
0524-IAVZO,Female,No,Yes,No
2737-YNGYW,Female,No,No,No
5159-YFPKQ,Female,No,No,No
4021-RQSNY,Male,Yes,Yes,No
9061-TIHDA,Male,Yes,Yes,No
8699-ASUFO,Male,Yes,Yes,No
7927-AUXBZ,Female,No,No,No
4695-WJZUE,Female,Yes,No,No
7619-ODSGN,Male,No,Yes,Yes
3988-RQIXO,Female,Yes,No,No
2514-GINMM,Male,No,No,No
5931-FLJJF,Male,Yes,Yes,No
2659-VXMWZ,Male,No,Yes,No
3207-OYBWH,Male,Yes,Yes,No
4285-GYRQC,Female,No,Yes,No
7216-EWTRS,Female,Yes,Yes,No
8337-MSSXB,Female,No,No,No
8182-BJDSI,Female,No,No,No
2528-HFYZX,Male,Yes,Yes,No
2482-CZGBB,Male,No,No,No
0866-QLSIR,Female,No,No,No
7181-BQYBV,Female,No,Yes,No
6204-IEUXJ,Female,No,No,No
4529-CKBCL,Female,No,No,No
2506-CLAKW,Female,No,No,No
1583-IHQZE,Male,No,No,No
0151-ONTOV,Female,No,No,No
4140-MUHUG,Female,Yes,No,No
0320-JDNQG,Male,No,Yes,No
7180-PISOG,Male,No,Yes,No
3571-RFHAR,Male,No,No,No
9578-VRMNM,Female,No,No,No
1587-FKLZB,Male,Yes,Yes,No
6140-QNRQQ,Male,No,No,No
4307-KTUMW,Male,No,Yes,No
5440-FLBQG,Male,Yes,Yes,No
7470-MCQTK,Female,No,Yes,No
7488-MXJIV,Female,No,No,No
2027-FECZV,Male,No,No,No
2672-DZUOY,Male,No,No,No
3870-MQAMG,Female,No,Yes,No
4800-CZMPC,Female,No,Yes,No
7377-DMMRI,Male,No,No,No
8949-JTMAY,Female,No,No,No
2774-LVQUS,Female,Yes,Yes,No
3211-ILJTT,Male,No,Yes,No
4612-THJBS,Female,Yes,No,No
4094-NSEDU,Female,Yes,No,No
5103-MHMHY,Female,No,No,Yes
1846-XWOQN,Female,Yes,No,No
0235-KGSLC,Female,No,No,No
2884-GBPFB,Female,No,Yes,No
3757-NJYBX,Male,Yes,Yes,No
5136-KCKGI,Female,No,Yes,No
3722-WPXTK,Male,No,No,No
2929-ERCFZ,Female,No,Yes,No
7548-SEPYI,Female,No,No,No
8835-VSDSE,Female,No,Yes,No
1623-NLDOT,Female,No,Yes,No
9898-KZQDZ,Female,Yes,Yes,No
5236-PERKL,Female,No,No,No
7854-FOKSF,Male,No,No,No
2519-FAKOD,Male,No,No,No
8263-JQAIK,Male,Yes,No,No
7089-IVVAZ,Female,No,No,No
2205-YMZZJ,Male,Yes,No,No
1254-IZEYF,Female,Yes,No,No
9492-TOKRI,Female,No,No,No
9221-OTIVJ,Female,Yes,No,No
3325-FUYCG,Male,No,Yes,No
5908-QMGOE,Male,Yes,No,No
8481-YYXWG,Female,No,No,No
2609-IAICY,Female,No,No,No
1740-CSDJP,Male,No,No,No
2636-OHFMN,Male,No,Yes,No
1323-OOEPC,Female,No,Yes,No
0397-GZBBC,Male,Yes,Yes,No
7641-EUYET,Male,Yes,Yes,No
9921-ZVRHG,Female,No,No,No
4701-MLJPN,Male,No,No,No
9206-GVPEQ,Male,No,Yes,No
1596-BBVTG,Male,No,No,No
8433-WXGNA,Male,No,No,No
3707-GNWHM,Male,No,No,No
8922-LIEGH,Female,Yes,No,No
8245-UMPYT,Female,Yes,No,No
5186-SAMNZ,Male,Yes,No,No
5373-SFODM,Male,Yes,Yes,No
5766-ZJYBB,Male,No,No,No
8931-GJJIQ,Female,No,No,No
4277-PVRAN,Female,No,No,No
0022-TCJCI,Male,Yes,No,No
0203-HHYIJ,Male,No,No,No
0952-KMEEH,Male,No,No,No
8178-EYZUO,Male,No,No,No
5130-IEKQT,Male,Yes,No,No
3230-WYKIR,Male,No,No,No
0407-BDJKB,Male,No,Yes,No
9600-UDOPK,Male,No,Yes,No
4074-SJFFA,Female,No,No,No
3269-ATYWD,Male,Yes,No,No
4910-GMJOT,Female,No,No,No
0354-WYROK,Female,Yes,Yes,No
7576-OYWBN,Male,Yes,No,No
5539-TMZLF,Male,Yes,No,No
4323-SADQS,Male,No,Yes,Yes
4446-BZKHU,Male,No,Yes,No
5202-IVJNU,Female,No,No,Yes
5976-JCJRH,Male,No,Yes,No
0137-OCGAB,Female,No,No,No
3351-NQLDI,Female,No,Yes,No
7593-JNWRU,Male,No,Yes,Yes
4588-YBNIB,Female,No,No,No
3336-JORSO,Female,Yes,No,No
5028-GZLDO,Male,No,No,No
6861-XWTWQ,Male,Yes,Yes,No
6877-TJMBR,Male,No,Yes,No
6769-DCQLI,Male,No,No,No
2433-KMEAS,Male,No,No,No
2195-ZRVAX,Female,No,Yes,No
3550-SAHFP,Female,No,No,No
2011-TRQYE,Male,No,No,No
4873-ILOLJ,Male,No,No,No
2725-KXXWT,Male,No,Yes,No
9565-DJPIB,Female,No,No,No
8348-HFYIV,Male,No,No,No
6849-WLEYG,Male,No,No,Yes
4659-NZRUF,Female,No,No,No
8429-XIBUM,Male,No,No,No
2608-BHKFN,Female,No,No,No
7341-LXCAF,Male,No,Yes,No
9462-MJUAW,Male,No,No,No
8128-YVJRG,Female,No,No,No
4283-FUTGF,Male,Yes,No,No
1569-TTNYJ,Male,No,Yes,No
2397-BRLOM,Male,Yes,Yes,No
4749-VFKVB,Female,No,No,No
7598-UAASY,Male,No,Yes,No
7938-OUHIO,Male,No,No,No
8510-AWCXC,Female,Yes,No,No
0431-APWVY,Female,No,Yes,No
3426-NIYYL,Male,No,No,No
8225-BTJAU,Male,Yes,No,No
3387-VATUS,Male,No,No,No
1143-NMNQJ,Female,No,No,No
0415-MOSGF,Female,No,No,No
1724-BQUHA,Male,Yes,No,No
4826-XTSOH,Male,Yes,Yes,No
2495-INZWQ,Male,No,No,No
4139-SUGLD,Male,No,Yes,Yes
6857-VWJDT,Female,No,No,No
